param : E : c I :=
  1 2  1.000 1  # [A,P_0]
  1 3  1.000 0  # [A,X+1]
  1 4  1.000 0  # [A,X-1]
  1 5  1.000 0  # [A,X+2]
  1 6  1.000 0  # [A,X-2]
  1 7  1.000 0  # [A,X+3]
  1 8  1.000 0  # [A,X-3]
  1 9  1.000 0  # [A,X+4]
  1 10  1.000 0  # [A,X-4]
  1 11  1.000 0  # [A,X+5]
  1 12  1.000 0  # [A,X-5]
  1 22  21.000 1  # [A,P_5^0]
  1 68  6.000 1  # [A,S_3^1]
  2 13  2.500 1  # [P_0,M_1^0]
  2 57  2.500 1  # [P_0,M_1^1]
  3 4  2.000 0  # [X+1,X-1]
  3 23  2.000 1  # [X+1,B_1^0]
  3 69  2.000 1  # [X+1,B_1^1]
  5 6  2.000 0  # [X+2,X-2]
  5 29  2.500 1  # [X+2,N_(2. 1)^0]
  7 8  2.000 0  # [X+3,X-3]
  7 34  2.500 1  # [X+3,N_(3. 1)^0]
  9 10  2.000 0  # [X+4,X-4]
  9 41  2.500 1  # [X+4,N_(4. 1)^0]
  11 12  2.000 0  # [X+5,X-5]
  11 50  2.500 1  # [X+5,N_(5. 1)^0]
  11 74  2.500 1  # [X+5,N_(5. 1)^1]
  13 14  2.500 0  # [M_1^0,P_1^0]
  14 15  2.500 1  # [P_1^0,M_2^0]
  14 24  1.500 0  # [P_1^0,C_1^0]
  15 16  2.500 0  # [M_2^0,P_2^0]
  16 17  2.500 1  # [P_2^0,M_3^0]
  16 27  1.500 0  # [P_2^0,C_2^0]
  17 18  2.500 0  # [M_3^0,P_3^0]
  18 19  2.500 1  # [P_3^0,M_4^0]
  18 32  1.500 0  # [P_3^0,C_3^0]
  19 20  2.500 0  # [M_4^0,P_4^0]
  20 21  2.500 1  # [P_4^0,M_5^0]
  20 39  1.500 0  # [P_4^0,C_4^0]
  21 22  2.500 0  # [M_5^0,P_5^0]
  22 48  1.500 0  # [P_5^0,C_5^0]
  23 24  1.500 1  # [B_1^0,C_1^0]
  25 14  1.000 1  # [A_2^0,P_1^0]
  25 28  1.000 0  # [A_2^0,x_2^0]
  26 27  1.500 1  # [B_2^0,C_2^0]
  28 26  2.000 1  # [x_2^0,B_2^0]
  28 29  2.500 0  # [x_2^0,N_(2. 1)^0]
  30 16  1.000 1  # [A_3^0,P_2^0]
  30 33  1.000 0  # [A_3^0,x_3^0]
  31 32  1.500 1  # [B_3^0,C_3^0]
  33 31  2.000 1  # [x_3^0,B_3^0]
  33 36  2.500 0  # [x_3^0,N_(3. 2)^0]
  34 35  2.500 0  # [N_(3. 1)^0,Q_(3. 1)^0]
  35 36  2.500 1  # [Q_(3. 1)^0,N_(3. 2)^0]
  37 18  1.000 1  # [A_4^0,P_3^0]
  37 40  1.000 0  # [A_4^0,x_4^0]
  38 39  1.500 1  # [B_4^0,C_4^0]
  40 38  2.000 1  # [x_4^0,B_4^0]
  40 45  2.500 0  # [x_4^0,N_(4. 3)^0]
  41 42  2.500 0  # [N_(4. 1)^0,Q_(4. 1)^0]
  42 43  2.500 1  # [Q_(4. 1)^0,N_(4. 2)^0]
  43 44  2.500 0  # [N_(4. 2)^0,Q_(4. 2)^0]
  44 45  2.500 1  # [Q_(4. 2)^0,N_(4. 3)^0]
  46 20  1.000 1  # [A_5^0,P_4^0]
  46 49  1.000 0  # [A_5^0,x_5^0]
  47 48  1.500 1  # [B_5^0,C_5^0]
  49 47  2.000 1  # [x_5^0,B_5^0]
  49 56  2.500 0  # [x_5^0,N_(5. 4)^0]
  50 51  2.500 0  # [N_(5. 1)^0,Q_(5. 1)^0]
  51 52  2.500 1  # [Q_(5. 1)^0,N_(5. 2)^0]
  52 53  2.500 0  # [N_(5. 2)^0,Q_(5. 2)^0]
  53 54  2.500 1  # [Q_(5. 2)^0,N_(5. 3)^0]
  54 55  2.500 0  # [N_(5. 3)^0,Q_(5. 3)^0]
  55 56  2.500 1  # [Q_(5. 3)^0,N_(5. 4)^0]
  57 58  2.500 0  # [M_1^1,P_1^1]
  58 59  2.500 1  # [P_1^1,M_5^1]
  58 70  1.500 0  # [P_1^1,C_1^1]
  59 60  2.500 0  # [M_5^1,P_5^1]
  60 61  0.500 1  # [P_5^1,R_0^1]
  60 73  1.500 0  # [P_5^1,C_5^1]
  61 62  0.500 0  # [R_0^1,S_0^1]
  63 64  1.000 0  # [R_1^1,S_1^1]
  64 65  2.000 1  # [S_1^1,R_2^1]
  65 66  2.000 0  # [R_2^1,S_2^1]
  66 67  4.000 1  # [S_2^1,R_3^1]
  67 68  4.000 0  # [R_3^1,S_3^1]
  69 70  1.500 1  # [B_1^1,C_1^1]
  71 58  1.000 1  # [A_5^1,P_1^1]
  71 75  1.000 0  # [A_5^1,Q_(5. 1)^1]
  72 73  1.500 1  # [B_5^1,C_5^1]
  74 75  2.500 0  # [N_(5. 1)^1,Q_(5. 1)^1]
  75 72  2.000 1  # [Q_(5. 1)^1,B_5^1]
;
