# Random (likely infeasible) DGP instance

param : E : c I :=
  1 2  1.000 1  # [A,P_0]
  1 3  1.000 0  # [A,X+1]
  1 4  1.000 0  # [A,X-1]
  1 5  1.000 0  # [A,X+2]
  1 6  1.000 0  # [A,X-2]
  1 7  19.000 1  # [A,T^0]
  1 8  7.000 1  # [A,T^1]
  2 9  27.000 1  # [P_0,M_1^0]
  2 33  6.000 1  # [P_0,M_1^1]
  3 27  2.000 1  # [X+1,B_1^0]
  3 47  2.000 1  # [X+1,B_1^1]
  4 3  2.000 0  # [X-1,X+1]
  5 32  27.000 1  # [X+2,N_(2, 1)^0]
  5 52  6.000 1  # [X+2,N_(2, 1)^1]
  6 5  2.000 0  # [X-2,X+2]
  9 10  27.000 0  # [M_1^0,P_1^0]
  10 11  12.000 1  # [P_1^0,M_2^0]
  11 12  12.000 0  # [M_2^0,P_2^0]
  12 13  0.500 1  # [P_2^0,R_0^0]
  13 14  0.500 0  # [R_0^0,S_0^0]
  14 16  0.500 1  # [S_0^0,R_.5^0]
  15 18  0.500 0  # [R_1^0,S_1^0]
  16 17  0.500 0  # [R_.5^0,S_.5^0]
  17 15  0.500 1  # [S_.5^0,R_1^0]
  18 19  2.000 1  # [S_1^0,R_2^0]
  19 20  2.000 0  # [R_2^0,S_2^0]
  20 21  4.000 1  # [S_2^0,R_3^0]
  21 22  4.000 0  # [R_3^0,S_3^0]
  22 23  8.000 1  # [S_3^0,R_4^0]
  23 24  8.000 0  # [R_4^0,S_4^0]
  24 25  16.000 1  # [S_4^0,R_5^0]
  25 26  16.000 0  # [R_5^0,S_5^0]
  26 7  0.000 0  # [S_5^0,T^0]
  27 28  26.000 1  # [B_1^0,C_1^0]
  28 10  26.000 0  # [C_1^0,P_1^0]
  29 30  11.000 1  # [B_2^0,C_2^0]
  30 12  11.000 0  # [C_2^0,P_2^0]
  31 29  2.000 1  # [x_2^0,B_2^0]
  32 31  27.000 0  # [N_(2, 1)^0,x_2^0]
  33 34  6.000 0  # [M_1^1,P_1^1]
  34 35  12.000 1  # [P_1^1,M_2^1]
  35 36  12.000 0  # [M_2^1,P_2^1]
  36 37  0.500 1  # [P_2^1,R_0^1]
  37 38  0.500 0  # [R_0^1,S_0^1]
  38 40  0.500 1  # [S_0^1,R_.5^1]
  39 42  0.500 0  # [R_1^1,S_1^1]
  40 41  0.500 0  # [R_.5^1,S_.5^1]
  41 39  0.500 1  # [S_.5^1,R_1^1]
  42 43  2.000 1  # [S_1^1,R_2^1]
  43 44  2.000 0  # [R_2^1,S_2^1]
  44 45  4.000 1  # [S_2^1,R_3^1]
  45 46  4.000 0  # [R_3^1,S_3^1]
  46 8  0.000 0  # [S_3^1,T^1]
  47 48  5.000 1  # [B_1^1,C_1^1]
  48 34  5.000 0  # [C_1^1,P_1^1]
  49 50  11.000 1  # [B_2^1,C_2^1]
  50 36  11.000 0  # [C_2^1,P_2^1]
  51 49  2.000 1  # [x_2^1,B_2^1]
  52 51  6.000 0  # [N_(2, 1)^1,x_2^1]
;
