# DGP instance in .dat format for dgp.mod
param : E : c I :=
  89 81  17.000 0  # [C_3^2,P_3^2]
  40 46  0.500 0  # [R_1^1,S_1^1]
  54 52  5.000 0  # [A_7^1,R_3^1]
  54 57  4.000 0  # [A_7^1,L_7^1]
  90 76  1.000 0  # [x_3^2,A_3^2]
  87 86  6.000 0  # [N_(2, 1)^2,x_2^2]
  31 32  27.000 0  # [L_2^1,A_3^1]
  7 91  6.000 0  # [X+3,N_(3, 1)^2]
  1 7  1.000 0  # [A,X+3]
  72 71  6.000 0  # [A_2^2,L_1^2]
  85 77  20.000 0  # [C_2^2,P_2^2]
  1 70  7.000 0  # [A,M_1^2]
  76 79  18.000 0  # [A_3^2,L_3^2]
  22 23  26.000 0  # [B_2^0,C_2^0]
  1 11  0.000 0  # [A,L_1^0]
  46 47  2.000 0  # [S_1^1,R_2^1]
  72 73  1.000 0  # [A_2^2,P_1^2]
  42 45  1.000 0  # [A_5^1,S_.5^1]
  90 88  2.000 0  # [x_3^2,B_3^2]
  55 56  8.000 0  # [S_3^1,R_4^1]
  45 40  0.500 0  # [S_.5^1,R_1^1]
  36 41  0.500 0  # [A_4^1,L_4^1]
  54 51  1.000 0  # [A_7^1,S_2^1]
  84 85  20.000 0  # [B_2^2,C_2^2]
  44 45  0.500 0  # [R_.5^1,S_.5^1]
  41 43  0.500 0  # [L_4^1,A_4.5^1]
  68 28  1.000 0  # [x_2^1,A_2^1]
  86 72  1.000 0  # [x_2^2,A_2^2]
  1 8  1.000 0  # [A,X-3]
  26 29  9.000 0  # [M_1^1,P_1^1]
  58 61  8.000 0  # [A_8^1,L_8^1]
  13 14  27.000 0  # [P_1^0,M_2^0]
  58 56  9.000 0  # [A_8^1,R_4^1]
  50 53  2.000 0  # [A_6^1,L_6^1]
  1 2  1.000 0  # [A,P_0]
  56 59  8.000 0  # [R_4^1,S_4^1]
  1 26  10.000 0  # [A,M_1^1]
  4 3  2.000 0  # [X-1,X+1]
  76 78  19.000 0  # [A_3^2,M_3^2]
  70 73  6.000 0  # [M_1^2,P_1^2]
  28 31  27.000 0  # [A_2^1,L_2^1]
  69 68  9.000 0  # [N_(2, 1)^1,x_2^1]
  43 44  1.500 0  # [A_4.5^1,R_.5^1]
  63 9  0.000 0  # [S_5^1,T^1]
  16 17  1.000 0  # [A_3^0,P_2^0]
  42 49  0.500 0  # [A_5^1,L_5^1]
  21 2  0.000 0  # [P_3^0,P_0]
  28 27  9.000 0  # [A_2^1,L_1^1]
  18 21  0.000 0  # [M_3^0,P_3^0]
  12 11  0.000 0  # [A_2^0,L_1^0]
  23 17  26.000 0  # [C_2^0,P_2^0]
  15 16  27.000 0  # [L_2^0,A_3^0]
  35 36  0.000 0  # [L_3^1,A_4^1]
  72 74  22.000 0  # [A_2^2,M_2^2]
  24 22  2.000 0  # [x_2^0,B_2^0]
  2 26  9.000 0  # [P_0,M_1^1]
  36 37  1.000 0  # [A_4^1,P_3^1]
  51 52  4.000 0  # [S_2^1,R_3^1]
  28 29  1.000 0  # [A_2^1,P_1^1]
  29 30  27.000 0  # [P_1^1,M_2^1]
  1 5  1.000 0  # [A,X+2]
  14 17  27.000 0  # [M_2^0,P_2^0]
  6 5  2.000 0  # [X-2,X+2]
  61 62  8.000 0  # [L_8^1,A_9^1]
  10 13  0.000 0  # [M_1^0,P_1^0]
  68 66  2.000 0  # [x_2^1,B_2^1]
  83 73  5.000 0  # [C_1^2,P_1^2]
  59 60  16.000 0  # [S_4^1,R_5^1]
  62 59  1.000 0  # [A_9^1,S_4^1]
  16 18  1.000 0  # [A_3^0,M_3^0]
  30 33  27.000 0  # [M_2^1,P_2^1]
  8 7  2.000 0  # [X-3,X+3]
  39 44  0.500 0  # [S_0^1,R_.5^1]
  42 40  1.500 0  # [A_5^1,R_1^1]
  65 29  8.000 0  # [C_1^1,P_1^1]
  34 37  0.000 0  # [M_3^1,P_3^1]
  43 39  1.000 0  # [A_4.5^1,S_0^1]
  1 27  9.000 0  # [A,L_1^1]
  16 19  0.000 0  # [A_3^0,L_3^0]
  1 4  1.000 0  # [A,X-1]
  72 75  21.000 0  # [A_2^2,L_2^2]
  67 33  26.000 0  # [C_2^1,P_2^1]
  32 33  1.000 0  # [A_3^1,P_2^1]
  77 78  18.000 0  # [P_2^2,M_3^2]
  4 64  2.000 0  # [X-1,B_1^1]
  88 89  17.000 0  # [B_3^2,C_3^2]
  60 63  16.000 0  # [R_5^1,S_5^1]
  52 55  4.000 0  # [R_3^1,S_3^1]
  74 77  21.000 0  # [M_2^2,P_2^2]
  57 58  4.000 0  # [L_7^1,A_8^1]
  6 25  0.000 0  # [X-2,N_(2, 1)^0]
  1 9  19.000 0  # [A,T^1]
  79 80  18.000 0  # [L_3^2,A_4^2]
  81 2  0.000 0  # [P_3^2,P_0]
  66 67  26.000 0  # [B_2^1,C_2^1]
  58 55  1.000 0  # [A_8^1,S_3^1]
  76 77  1.000 0  # [A_3^2,P_2^2]
  12 15  27.000 0  # [A_2^0,L_2^0]
  6 87  6.000 0  # [X-2,N_(2, 1)^2]
  2 9  18.000 0  # [P_0,T^1]
  24 12  1.000 0  # [x_2^0,A_2^0]
  92 93  21.000 0  # [Q_(3, 1)^2,N_(3, 2)^2]
  80 81  1.000 0  # [A_4^2,P_3^2]
  12 13  1.000 0  # [A_2^0,P_1^0]
  38 39  0.500 0  # [R_0^1,S_0^1]
  64 65  8.000 0  # [B_1^1,C_1^1]
  1 6  1.000 0  # [A,X-2]
  50 46  1.000 0  # [A_6^1,S_1^1]
  53 54  2.000 0  # [L_6^1,A_7^1]
  19 20  0.000 0  # [L_3^0,A_4^0]
  48 42  0.500 0  # [L_4.5^1,A_5^1]
  32 34  1.000 0  # [A_3^1,M_3^1]
  91 92  6.000 0  # [N_(3, 1)^2,Q_(3, 1)^2]
  2 10  0.000 0  # [P_0,M_1^0]
  73 74  21.000 0  # [P_1^2,M_2^2]
  78 81  18.000 0  # [M_3^2,P_3^2]
  25 24  0.000 0  # [N_(2, 1)^0,x_2^0]
  28 30  28.000 0  # [A_2^1,M_2^1]
  43 48  0.500 0  # [A_4.5^1,L_4.5^1]
  75 76  21.000 0  # [L_2^2,A_3^2]
  3 82  2.000 0  # [X+1,B_1^2]
  33 34  0.000 0  # [P_2^1,M_3^1]
  6 69  9.000 0  # [X-2,N_(2, 1)^1]
  17 18  0.000 0  # [P_2^0,M_3^0]
  1 3  1.000 0  # [A,X+1]
  36 38  1.500 0  # [A_4^1,R_0^1]
  2 70  6.000 0  # [P_0,M_1^2]
  82 83  5.000 0  # [B_1^2,C_1^2]
  1 10  1.000 0  # [A,M_1^0]
  86 84  2.000 0  # [x_2^2,B_2^2]
